id,country,city,desc
1,Afghanistan,Kabul,"Vibrant capital city of Afghanistan, rich in history and culture."
2,Afghanistan,Herat,"Cultural heart, iconic architecture, and local flavors."
3,Afghanistan,Kandahar,Bustling city center with rich heritage and scenic views.
4,Afghanistan,Molah,"Vibrant urban hub, ancient history, and local markets."
5,Albania,Tirana,"Vibrant capital city of Albania, rich in history and culture."
6,Albania,Elbasan,"Cultural heart, iconic architecture, and local flavors."
7,Albania,Petran,Bustling city center with rich heritage and scenic views.
8,Albania,Pogradec,"Vibrant urban hub, ancient history, and local markets."
9,Algeria,Algiers,"Vibrant capital city of Algeria, rich in history and culture."
10,Algeria,Annaba,"Cultural heart, iconic architecture, and local flavors."
11,Algeria,Azazga,Bustling city center with rich heritage and scenic views.
12,Algeria,Batna City,"Vibrant urban hub, ancient history, and local markets."
13,American Samoa,Pago Pago,"Vibrant capital city of American Samoa, rich in history and culture."
14,Andorra,Andorra la Vella,"Vibrant capital city of Andorra, rich in history and culture."
15,Andorra,Canillo,"Cultural heart, iconic architecture, and local flavors."
16,Andorra,Encamp,Bustling city center with rich heritage and scenic views.
17,Andorra,Engordany,"Vibrant urban hub, ancient history, and local markets."
18,Angola,Luanda,"Vibrant capital city of Angola, rich in history and culture."
19,Angola,Ambriz,"Cultural heart, iconic architecture, and local flavors."
20,Angola,Benguela,Bustling city center with rich heritage and scenic views.
21,Angola,Cabinda,"Vibrant urban hub, ancient history, and local markets."
22,Anguilla,The Valley,"Vibrant capital city of Anguilla, rich in history and culture."
23,Anguilla,Blowing Point Village,"Cultural heart, iconic architecture, and local flavors."
24,Anguilla,Sandy Ground Village,Bustling city center with rich heritage and scenic views.
25,Anguilla,Sandy Hill,"Vibrant urban hub, ancient history, and local markets."
26,Antigua and Barbuda,Saint John's,"Vibrant capital city of Antigua and Barbuda, rich in history and culture."
27,Antigua and Barbuda,All Saints,"Cultural heart, iconic architecture, and local flavors."
28,Antigua and Barbuda,Cassada Gardens,Bustling city center with rich heritage and scenic views.
29,Antigua and Barbuda,Codrington,"Vibrant urban hub, ancient history, and local markets."
30,Argentina,Buenos Aires,"Vibrant capital city of Argentina, rich in history and culture."
31,Argentina,28 de Noviembre,"Cultural heart, iconic architecture, and local flavors."
