id,city,type,name,desc,link,put,put_link
1,Kabul,plane,Kabul International Airport,Main airport connecting Kabul to international destinations,https://www.skyscanner.com,Take the official airport express bus or taxi directly to city center.,
2,Kabul,bus,Kabul Central Bus Terminal,Intercity bus terminal with connections across Afghanistan,https://www.flixbus.com,Local city bus or taxi service available outside the terminal.,
3,Herat,plane,Herat International Airport,Main airport connecting Herat to international destinations,https://www.skyscanner.com,Take the official airport express bus or taxi directly to city center.,
4,Herat,bus,Herat Central Bus Terminal,Intercity bus terminal with connections across Afghanistan,https://www.flixbus.com,Local city bus or taxi service available outside the terminal.,
5,Kandahar,plane,Kandahar International Airport,Main airport connecting Kandahar to international destinations,https://www.skyscanner.com,Take the official airport express bus or taxi directly to city center.,
6,Kandahar,bus,Kandahar Central Bus Terminal,Intercity bus terminal with connections across Afghanistan,https://www.flixbus.com,Local city bus or taxi service available outside the terminal.,
7,Molah,plane,Molah International Airport,Main airport connecting Molah to international destinations,https://www.skyscanner.com,Take the official airport express bus or taxi directly to city center.,
8,Molah,bus,Molah Central Bus Terminal,Intercity bus terminal with connections across Afghanistan,https://www.flixbus.com,Local city bus or taxi service available outside the terminal.,
9,Tirana,plane,Tirana International Airport,Main airport connecting Tirana to international destinations,https://www.skyscanner.com,Take the official airport express bus or taxi directly to city center.,
10,Tirana,bus,Tirana Central Bus Terminal,Intercity bus terminal with connections across Albania,https://www.flixbus.com,Local city bus or taxi service available outside the terminal.,
11,Elbasan,plane,Elbasan International Airport,Main airport connecting Elbasan to international destinations,https://www.skyscanner.com,Take the official airport express bus or taxi directly to city center.,
12,Elbasan,bus,Elbasan Central Bus Terminal,Intercity bus terminal with connections across Albania,https://www.flixbus.com,Local city bus or taxi service available outside the terminal.,
13,Petran,plane,Petran International Airport,Main airport connecting Petran to international destinations,https://www.skyscanner.com,Take the official airport express bus or taxi directly to city center.,
14,Petran,bus,Petran Central Bus Terminal,Intercity bus terminal with connections across Albania,https://www.flixbus.com,Local city bus or taxi service available outside the terminal.,
15,Pogradec,plane,Pogradec International Airport,Main airport connecting Pogradec to international destinations,https://www.skyscanner.com,Take the official airport express bus or taxi directly to city center.,
16,Pogradec,bus,Pogradec Central Bus Terminal,Intercity bus terminal with connections across Albania,https://www.flixbus.com,Local city bus or taxi service available outside the terminal.,
