id,country,continent,currency,currency_short,euro_conversion,e_sim
1,Afghanistan,Asia,Afghan afghani,AFN,"=IF(E2=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E2), 2))",
2,Albania,Europe,Albanian lek,ALL,"=IF(E3=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E3), 2))",
3,Algeria,Africa,Algerian dinar,DZD,"=IF(E4=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E4), 2))",
4,American Samoa,Oceania,United States dollar,USD,"=IF(E5=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E5), 2))",
5,Andorra,Europe,Euro,EUR,"=IF(E6=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E6), 2))",
6,Angola,Africa,Angolan kwanza,AOA,"=IF(E7=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E7), 2))",
7,Anguilla,Americas,Eastern Caribbean dollar,XCD,"=IF(E8=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E8), 2))",
8,Antigua and Barbuda,Americas,Eastern Caribbean dollar,XCD,"=IF(E9=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E9), 2))",
9,Argentina,Americas,Argentine peso,ARS,"=IF(E10=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E10), 2))",
10,Armenia,Asia,Armenian dram,AMD,"=IF(E11=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E11), 2))",
11,Aruba,Americas,Aruban florin,AWG,"=IF(E12=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E12), 2))",
12,Australia,Oceania,Australian dollar,AUD,"=IF(E13=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E13), 2))",
13,Austria,Europe,Euro,EUR,"=IF(E14=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E14), 2))",
14,Azerbaijan,Asia,Azerbaijani manat,AZN,"=IF(E15=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E15), 2))",
15,Bahamas,Americas,Bahamian dollar,BSD,"=IF(E16=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E16), 2))",
16,Bahrain,Asia,Bahraini dinar,BHD,"=IF(E17=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E17), 2))",
17,Bangladesh,Asia,Bangladeshi taka,BDT,"=IF(E18=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E18), 2))",
18,Barbados,Americas,Barbadian dollar,BBD,"=IF(E19=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E19), 2))",
19,Belarus,Europe,Belarusian ruble,BYN,"=IF(E20=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E20), 2))",
20,Belgium,Europe,Euro,EUR,"=IF(E21=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E21), 2))",
21,Belize,Americas,Belize dollar,BZD,"=IF(E22=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E22), 2))",
22,Benin,Africa,West African CFA franc,XOF,"=IF(E23=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E23), 2))",
23,Bermuda,Americas,Bermudian dollar,BMD,"=IF(E24=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E24), 2))",
24,Bhutan,Asia,Bhutanese ngultrum,BTN,"=IF(E25=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E25), 2))",
25,Bolivia,Americas,Bolivian boliviano,BOB,"=IF(E26=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E26), 2))",
26,Bosnia and Herzegovina,Europe,Bosnia and Herzegovina convertible mark,BAM,"=IF(E27=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E27), 2))",
27,Botswana,Africa,Botswana pula,BWP,"=IF(E28=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E28), 2))",
28,Brazil,Americas,Brazilian real,BRL,"=IF(E29=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E29), 2))",
29,British Indian Ocean Territory,Africa,United States dollar,USD,"=IF(E30=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E30), 2))",
30,British Virgin Islands,Americas,United States dollar,USD,"=IF(E31=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E31), 2))",
31,Brunei,Asia,Brunei dollar,BND,"=IF(E32=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E32), 2))",
32,Bulgaria,Europe,Euro,EUR,"=IF(E33=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E33), 2))",
33,Burkina Faso,Africa,West African CFA franc,XOF,"=IF(E34=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E34), 2))",
34,Burundi,Africa,Burundian franc,BIF,"=IF(E35=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E35), 2))",
35,Cambodia,Asia,Cambodian riel,KHR,"=IF(E36=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E36), 2))",
